 suite name label n test
0 ast test_AST_objects fail 1 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, [])
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
1 ast test_AST_objects fail 10 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], ""42"")

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
2 ast test_AST_objects fail 2 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertNotEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
3 ast test_AST_objects fail 3 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertNotEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
4 ast test_AST_objects fail 4 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(TypeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
5 ast test_AST_objects fail 5 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(AttributeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
6 ast test_AST_objects fail 6 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
7 ast test_AST_objects fail 7 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        # ""ast.AST constructor takes 0 positional arguments""
        ast.AST(2)

"
8 ast test_AST_objects fail 8 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, 42)
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        ast.AST(2)

"
9 ast test_AST_objects fail 9 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = 42
        self.assertEqual(x.foobar, ""42"")
        self.assertEqual(x.__dict__[""foobar""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
11 ast test_AST_objects pass 1 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.foobar = -1
        self.assertEqual(x.foobar, -1)
        self.assertEqual(x.__dict__[""foobar""], -1)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
12 ast test_AST_objects pass 10 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        r = 42
        self.assertEqual(x._fields, ())
        x.foobar = r
        self.assertEqual(x.foobar, r)
        self.assertEqual(x.__dict__[""foobar""], r)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
13 ast test_AST_objects pass 2 "    import ast
    ...
    def test_AST_objects(self):
        x = ast.AST()
        self.assertEqual(x._fields, ())
        x.zzz = 42
        self.assertEqual(x.zzz, 42)
        self.assertEqual(x.__dict__[""zzz""], 42)

        with self.assertRaises(AttributeError):
            x.vararg

        with self.assertRaises(TypeError):
            # ""ast.AST constructor takes 0 positional arguments""
            ast.AST(2)

"
14 ast test_AST_objects pass 3 "    import ast
